,POSITION,HEIGHT,WEIGHT,PLAYER,AGE,Injury Status
0,LW,74,214,Abdelkader Justin,32,Injured
1,LW,71,196,Aberg Pontus,25,Injured
2,RW,69,171,Abramov Vitaly,21,Not Injured
3,C,70,205,Acciari Noel,27,Not Injured
4,LW,72,199,Agostino Kenny,27,Not Injured
5,LW,70,187,Agozzino Andrew,28,Not Injured
6,C,72,176,Aho Sebastian,21,Not Injured
7,D,73,179,Allard Frederic,21,Not Injured
8,G,74,203,Allen Jake,28,Not Injured
9,D,76,201,Alt Mark,27,Not Injured
10,D,75,219,Alzner Karl,30,Not Injured
11,C,73,205,Amadio Michael,23,Not Injured
12,D,74,205,Amorosa Terrance,24,Not Injured
13,G,76,230,Andersen Frederik,29,Injured
14,G,74,185,Anderson Craig,38,Injured
15,RW,71,190,Anderson Joey,21,Injured
16,RW,75,221,Anderson Josh,25,Not Injured
17,C,71,191,Anderson-Dolan Jaret,19,Not Injured
18,C,71,198,Andersson Lias,20,Not Injured
19,D,73,214,Andersson Rasmus,22,Not Injured
20,LW,73,203,Andreoff Andy,28,Not Injured
21,RW,70,188,Andrighetto Sven,26,Injured
22,C,77,210,Angello Anthony,23,Not Injured
23,C,76,198,Anisimov Artem,31,Injured
24,D,71,175,Antipin Victor,26,Not Injured
25,C,74,193,Appleton Mason,23,Not Injured
26,LW,71,176,Archambault Oliver,26,Not Injured
27,RW,75,212,Archibald Darren,29,Not Injured
28,RW,70,176,Archibald Josh,26,Injured
29,RW,76,210,Armia Joel,26,Injured
30,RW,69,180,Arvidsson Viktor,26,Injured
31,C,72,204,Aston-Reese Zachary,24,Not Injured
32,C,74,177,Athanasiou Andreas,24,Injured
33,RW,68,179,Atkinson Cam,30,Injured
34,RW,71,196,Aube-Kubel Nicolas,23,Not Injured
35,D,71,187,Auvitu Yohann,29,Not Injured
36,G,70,183,Bachman Richard,31,Not Injured
37,RW,75,215,Backes David,35,Injured
38,C,72,200,Backlund Mikael,30,Injured
39,C,73,210,Backstrom Nicklas,31,Not Injured
40,LW,71,190,Baertschi Sven,26,Injured
41,RW,73,212,Bailey Josh,29,Not Injured
42,RW,76,214,Bailey Justin,24,Not Injured
43,C,74,198,Bakos Martin,29,Not Injured
44,LW,71,175,Balcers Rudolfs,22,Not Injured
45,LW,71,185,Bancks Carter,29,Not Injured
46,RW,73,205,Baptiste Nicholas,23,Not Injured
47,C,72,187,Barbashev Ivan,23,Not Injured
48,D,73,200,Barberio Mark,29,Injured
49,C,75,213,Barkov Aleksander,23,Not Injured
50,C,70,165,Barre-Boulet Alex,22,Not Injured
51,D,70,190,Barrie Tyson,27,Injured
52,D,73,196,Bartkowski Matt,31,Not Injured
53,C,72,187,Barzal Mathew,22,Not Injured
54,RW,76,207,Bastian Nathan,21,Injured
55,RW,73,187,Batherson Drake,21,Not Injured
56,D,73,195,Bayreuther Gavin,25,Not Injured
57,C,75,210,Beagle Jay,33,Injured
58,D,73,173,Bean Jake,21,Not Injured
59,D,71,198,Bear Ethan,22,Not Injured
60,D,74,200,Beaulieu Nathan,26,Injured
61,LW,71,182,Beauvillier Anthony,22,Not Injured
62,LW,72,203,Beleskey Matt,31,Not Injured
63,C,72,198,Bellemare Pierre-Edouard,34,Not Injured
64,D,71,193,Belpedio Louie,23,Not Injured
65,D,71,172,Bengtsson Lukas,25,Not Injured
66,LW,74,205,Benn Jamie,29,Injured
67,D,74,199,Benn Jordie,31,Not Injured
68,C,73,195,Bennett Sam,23,Injured
69,D,73,203,Benning Matt,25,Injured
